cust_id,°¡°ø½ÄÇ°,°¡°ø½ÄÇ°2,³²¼ºÆÐ¼Ç,³²¼ºÆÐ¼Ç2,¸®ºù,¸®ºù2,¸®ºùÄÁÅÙÃ÷,¸®ºùÄÁÅÙÃ÷2,½ºÆ÷Ã÷ÆÀ,½ºÆ÷Ã÷ÆÀ2,½Å¼±½ÄÇ°,½Å¼±½ÄÇ°2,¾Æµ¿/Å×³ÍÆ®,¾Æµ¿/Å×³ÍÆ®2,¿©¼ºÆÐ¼Ç,¿©¼ºÆÐ¼Ç2,¿µÆÐ¼Ç,¿µÆÐ¼Ç2,¿ÍÄ¡ÁÖ¾ó¸®ÆÀ,¿ÍÄ¡ÁÖ¾ó¸®ÆÀ2,ÇØ¿Ü¸íÇ°ÆÀ,ÇØ¿Ü¸íÇ°ÆÀ2,"ÇØ¿ÜºäÆ¼,ACCÆÀ","ÇØ¿ÜºäÆ¼,ACCÆÀ2",F&B,F&B2,¸ÅÃâÇÕ°è
731059502,40,"8,405",,,8,"6,420",1,52,28,"17,663",5,565,5,"2,242",5,"1,412",,,,,31,"89,451",17,"4,143",82,"2,633","132,987"
731066088,27,"6,722",9,"15,507",3,213,1,58,45,"26,304",17,"3,180",1,370,44,"26,716",7,618,,,49,"46,886",6,"2,541",5,442,"129,557"
731113118,2,205,3,947,16,"28,198",,,4,"1,779",1,22,,,7,9,25,"112,763",,,,,,,7,191,"144,113"
731120691,,,5,"3,936",22,"41,799",,,8,"5,879",5,"7,742",18,"5,762",2,"1,891",1,75,7,"53,700",21,"70,384",4,"1,415",3,287,"192,869"
731165469,39,"3,171",4,785,16,"18,165",,,24,"10,945",20,"5,324",2,50,21,"82,261",7,"1,064",5,"48,750",5,"5,763",9,"2,323",65,"1,593","180,194"
731176757,5,109,1,203,2,650,1,62,,,,,55,"11,679",64,"32,132",6,554,3,"1,170",77,"148,887",17,"4,397",35,751,"200,594"
731204232,13,"6,939",,,18,"12,896",,,1,15,4,271,7,"2,323",4,"8,732",,,12,"142,233",69,"405,755",34,"21,633",18,353,"601,149"
731220668,3,113,1,255,4,468,3,551,,,,,,,12,"6,477",,,1,69,41,"172,592",16,"5,161",23,560,"186,246"
731285494,26,"1,931",9,"3,060",8,999,1,155,4,"1,082",3,435,3,291,3,"6,207",,,2,"2,275",17,"119,941",6,"1,448",21,885,"138,708"
731322529,10,512,8,793,16,"20,456",,,15,"4,939",48,"4,854",117,"18,462",,,15,"1,760",11,"85,900",36,"58,790",27,"4,629",63,"1,311","202,405"
